"run","tick","FirmID","Demand","Profit","Quality","Price","FirmType"
1,1.0,"O 8",31,1963.0005141110098,4.12233687681146,63.53640903066844,"O"
1,1.0,"B 1",34,72.80832427011524,43.49024692247622,2.7267137879933925,"B"
1,1.0,"O 5",43,2255.01403699121,32.81627530476544,52.87936987262219,"O"
1,1.0,"B 9",45,83.66702633469401,38.967418747371994,2.36157293404867,"B"
1,1.0,"P 2",43,3363.0329266686535,78.45211318251677,79.11346594756469,"P"
1,1.0,"O 4",35,2877.6796903962486,39.69361352559645,82.7660261405399,"O"
1,1.0,"W 7",45,909.2032309650265,96.6931293484522,21.279130115378248,"W"
1,1.0,"B 6",44,37.77898879443554,3.0354949032189324,1.0,"B"
1,1.0,"P 10",31,1976.8290164679188,53.755734099890105,64.4588905698093,"P"
1,1.0,"B 3",36,45.323554870903735,33.19637507642619,1.726971058959291,"B"
